"Month","VHT","ToD","Agents","CallsOffered","CallsAbandoned","CallsHandled","ASA","Avehandletime"
"Oct-Nov","Off","morning","19","113","0","113","0.00","4.9"
"Oct-Nov","On","afternoo","29","146","0","146","0.00","5.8"
"Oct-Nov","On","evening","5","37","0","37","0.00","4.2"
"Oct-Nov","Off","morning","26","163","0","163","0.13","5.0"
"Oct-Nov","Off","afternoo","21","118","0","118","0.00","5.1"
"Oct-Nov","Off","evening","4","26","0","26","0.00","5.2"
"Oct-Nov","On","morning","9","51","0","51","0.00","5.3"
"Oct-Nov","Off","morning","34","191","0","191","0.22","5.2"
"Oct-Nov","Off","afternoo","31","185","3","182","0.33","5.1"
"Oct-Nov","Off","evening","12","73","0","73","0.00","4.6"
"Oct-Nov","Off","morning","28","150","0","150","0.50","5.5"
"Oct-Nov","On","afternoo","30","176","1","175","0.10","5.0"
"Oct-Nov","On","evening","12","65","1","64","0.00","5.7"
"Oct-Nov","On","morning","32","188","1","187","0.40","5.2"
"Oct-Nov","Off","afternoo","32","173","4","169","0.47","5.8"
"Oct-Nov","On","evening","11","60","0","60","0.00","5.4"
"Oct-Nov","Off","morning","11","67","4","63","0.88","4.7"
"Oct-Nov","Off","afternoo","7","47","0","47","0.83","4.9"
"Oct-Nov","Off","morning","19","217","73","144","8.75","5.8"
"Oct-Nov","Off","afternoo","34","226","27","199","4.27","5.6"
"Oct-Nov","Off","evening","9","98","22","76","7.92","5.4"
"Oct-Nov","On","morning","39","233","13","220","2.52","5.3"
"Oct-Nov","On","afternoo","39","187","2","185","0.32","6.3"
"Oct-Nov","On","evening","9","50","1","49","0.02","5.7"
"Oct-Nov","On","morning","33","202","7","195","2.40","5.0"
"Oct-Nov","Off","afternoo","29","189","24","165","4.35","5.7"
"Oct-Nov","Off","evening","12","66","2","64","1.77","5.5"
"Oct-Nov","On","morning","42","220","2","218","0.88","5.8"
"Oct-Nov","Off","afternoo","41","230","0","230","0.17","5.4"
"Oct-Nov","Off","evening","12","75","5","70","2.62","5.1"
"Oct-Nov","Off","morning","47","236","5","231","1.00","6.0"
"Oct-Nov","On","afternoo","29","172","0","172","0.20","5.0"
"Oct-Nov","Off","evening","11","67","1","66","0.17","5.0"
"Oct-Nov","On","morning","14","82","0","82","0.27","4.8"
"Oct-Nov","Off","afternoo","6","37","0","37","0.00","3.9"
